"Ranking","Team","Rating"
1,"Milwaukee Bucks",107.656162950041
2,"Los Angeles Clippers",106.992810622936
3,"Toronto Raptors",106.311029114128
4,"Los Angeles Lakers",106.306646547182
5,"Utah Jazz",105.368811348254
6,"Dallas Mavericks",105.317044577049
7,"Boston Celtics",105.231372456719
8,"Oklahoma City Thunder",104.264388592998
9,"Philadelphia 76ers",103.209909793812
10,"Miami Heat",102.557881440969
11,"Indiana Pacers",102.402145418665
12,"Denver Nuggets",102.366826546088
13,"Portland Trail Blazers",101.469703407091
14,"New Orleans Pelicans",101.144629711444
15,"Houston Rockets",101.06349524558
16,"Phoenix Suns",100.692962028162
17,"Memphis Grizzlies",99.8449491820785
18,"Orlando Magic",99.1846594728213
19,"San Antonio Spurs",98.9650791691369
20,"Sacramento Kings",98.2905345374068
21,"Brooklyn Nets",97.3474184878863
22,"Chicago Bulls",96.2071388697937
23,"Minnesota Timberwolves",95.1501838969981
24,"Detroit Pistons",95.1406728073465
25,"Washington Wizards",94.3886633568547
26,"Charlotte Hornets",93.6835446334527
27,"New York Knicks",93.353986540832
28,"Golden State Warriors",93.1139221747743
29,"Cleveland Cavaliers",92.0274422383989
30,"Atlanta Hawks",90.9459848310892
