Team,Home_Court_Advantage
BRK,-0.143482166
BOS,0.267844415
HOU,1.052241688
SAC,1.368458205
MIL,1.420379485
ATL,1.519923287
NOP,1.763126623
PHO,1.955706383
MIN,1.985469552
TOR,2.004063131
ORL,2.072989879
LAC,2.166307448
NYK,2.22100638
MIA,2.405960764
CHI,2.43106506
MEM,2.499795691
PHI,2.543313723
CLE,2.704366664
CHO,2.872115597
DAL,2.952141213
SAS,3.076773458
DEN,3.141361541
UTA,3.270119851
IND,3.581062407
LAL,3.982462504
WAS,4.356319472
GSW,4.381825512
POR,4.549882817
DET,4.939856218
OKC,5.135284404
